,Sample.ID,Year,Region,Length,Type,Age,Sex,Lifestage,Place.Holder,Lat,Long,State,locality,Species,month
57,UA_19173,1981,BB,NA,,,F,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
58,UA_28941,1966,BB,NA,,,M,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
60,UA_47510,1985,BB,1447,Total Length,,M,,1,56.885,-158.8666667,AK,,Harbor Seal,NA
65,UA_11827,1975,SC,149,Standard Length,,M,,1,60.28333333,-148.0166667,AK,,Harbor Seal,NA
66,UA_19159,1981,BB,NA,,,M,Adult,1,56.9,-158.8,AK,,Harbor Seal,NA
67,UA_52184,1997,BB,1540,Total Length,,F,,1,58.2,-157.4166667,AK,,Harbor Seal,NA
68,UA_19172,1981,BB,1423,Total Length,,M,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
69,UA_19175,1981,BB,NA,,,F,Adult,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
70,UA_28935,1966,BB,NA,,,M,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
71,UA_28940,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
72,UA_28943,1966,BB,NA,,,,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
73,UA_42151,1996,BB,1470,Total Length,,F,,1,58.2,-157.5,AK,,Harbor Seal,NA
74,UA_52183,1997,BB,NA,,,F,,1,58.18333333,-157.45,AK,,Harbor Seal,NA
81,UA_47511,1985,BB,1421,Total Length,,M,,1,56.885,-158.8666667,AK,,Harbor Seal,NA
83,UA_19161,1981,BB,NA,,,M,Adult,1,56.9,-158.8,AK,,Harbor Seal,NA
84,UA_19174,1981,BB,NA,,,M,,1,55.88333333,-160.4666667,AK,,Harbor Seal,NA
85,UA_28936,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
86,UA_28937,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
87,UA_42152,1996,BB,1360,Total Length,,F,,1,58.2,-157.5,AK,,Harbor Seal,NA
88,UA_43044,1996,BB,1215,Total Length,,F,,1,58.66666667,-160.25,AK,,Harbor Seal,NA
89,UA_28938,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
96,UA_28939,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
103,UA_87054,2002,BB,1180,Total Length,2,M,,1,58.66166667,-160.8116667,AK,,Harbor Seal,NA
107,UA_28942,1966,BB,NA,,,F,Adult,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
116,UA_19160,1981,BB,NA,,,F,Adult,1,56.9,-158.8,AK,,Harbor Seal,NA
120,UA_28934,1966,BB,NA,,,F,,1,56.91666667,-158.6833333,AK,,Harbor Seal,NA
129,UA_87056,2002,BB,1460,Total Length,5,F,Adult,1,58.68666667,-160.275,AK,,Harbor Seal,NA
106,UA_134119,2016,EG,NA,,adult,F,adult,1,55.44455,-131.819,AK,"S. Point Higgins, Ketchikan",Sea Lion,3
109,UA_86877,2006,EG,2438,total length,adult,M,adult,1,56.353,-133.6214167,AK,Memorial Beach Picnic Area east of Point Baker,Sea Lion,10
95,UA_138278,2017,IL,NA,,,,,1,59.71170044,-154.3439941,AK,Iliamna Lake,Harbor Seal,8
100,UA_3716,1880,IL,NA,,,,,1,59.75,-153.8333333,AK,Iliamna Lake,Harbor Seal,1
111,UA_3409,1957,IL,NA,,,,,1,59.5,-156,AK,"Iliamna Lake, near iguigig",Harbor Seal,9
126,UA_110328,2008,IL,NA,,,,,1,59.689275,-154.2456139,AK,Iliamna Lake,Harbor Seal,3
33,UA_11774,1972,SC,1130,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
34,UA_11816,1973,SC,138,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
35,UA_35437,1996,SC,1675,Total Length,,M,,1,60.66166667,-145.62,AK,,Harbor Seal,NA
36,UA_35445,1996,SC,1340,Total Length,,F,,1,60.26666667,-147.3266667,AK,,Harbor Seal,NA
37,UA_35446,1996,SC,1310,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
38,UA_99693,2003,SC,1390,Total Length,8,M,,1,60.355,-146.6333333,AK,,Harbor Seal,NA
39,UA_11742,1973,SC,116,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
40,UA_11920,1975,SC,148.3,Standard Length,,F,,1,60.33333333,-145.1666667,AK,,Harbor Seal,NA
41,UA_35442,1996,SC,1480,Total Length,,M,,1,60.35666667,-147.1033333,AK,,Harbor Seal,NA
42,UA_84943,2002,SC,1250,Total Length,3,M,Adult,1,61.13055556,-146.5861111,AK,,Harbor Seal,NA
43,UA_87032,2003,SC,1480,Total Length,8,F,Adult,1,61.40083333,-150.5085,AK,,Harbor Seal,NA
44,UA_99575,2005,SC,1500,Total Length,4,M,,1,60.72,-146.7166667,AK,,Harbor Seal,NA
45,UA_11475,1962,SC,NA,,Adult,M,,1,59.25,-151.25,AK,,Harbor Seal,NA
46,UA_11738,1973,SC,1530,Total Length,,F,,1,59.8,-149.5,AK,,Harbor Seal,NA
47,UA_11740,1973,SC,130,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
48,UA_28950,1980,SC,NA,,,F,,1,59.66666667,-149.5666667,AK,,Harbor Seal,NA
49,UA_84950,2002,SC,1160,Total Length,2,F,,1,60.74388889,-146.2069444,AK,,Harbor Seal,NA
50,UA_99641,2004,SC,1450,Total Length,14,F,Adult,1,60.54166667,-145.7566667,AK,,Harbor Seal,NA
51,UA_11817,1973,SC,139,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
52,UA_35440,1996,SC,1300,Total Length,,M,,1,60.26666667,-147.3266667,AK,,Harbor Seal,NA
53,UA_35449,1996,SC,1490,Total Length,,F,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
54,UA_3702,1955,SC,NA,,,F,,1,60.5,-145.75,AK,,Harbor Seal,NA
55,UA_11836,1973,SC,104,Standard Length,,M,,1,60.23333333,-147.3833333,AK,,Harbor Seal,NA
56,UA_11921,1972,SC,147.5,Standard Length,,F,,1,60.45,-144.9166667,AK,,Harbor Seal,NA
59,UA_35438,1996,SC,1350,Total Length,,M,,1,60.66166667,-145.62,AK,,Harbor Seal,NA
61,UA_11747,1973,SC,102,Standard Length,,F,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
62,UA_11770,1972,SC,1410,Total Length,,M,,1,60.16666667,-147.25,AK,,Harbor Seal,NA
63,UA_11771,1980,SC,1320,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
64,UA_11771,1972,SC,1320,Total Length,,F,,1,60.25,-147.4666667,AK,,Harbor Seal,NA
78,UA_11743,1973,SC,137,Standard Length,,M,,1,60.4,-147.6166667,AK,,Harbor Seal,NA
80,UA_35439,1996,SC,1480,Total Length,,F,,1,60.35666667,-147.1033333,AK,,Harbor Seal,NA
90,UA_35447,1996,SC,1440,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
91,UA_35450,1996,SC,1640,Total Length,,M,,1,60.30333333,-147.3716667,AK,,Harbor Seal,NA
92,UA_84958,2002,SC,1440,Total Length,16,F,Adult,1,60.78888889,-146.6577778,AK,,Harbor Seal,NA
93,UA_84959,2002,SC,1390,Total Length,6,F,Adult,1,60.77722222,-146.4483333,AK,,Harbor Seal,NA
113,UA_5260,1952,SC,NA,,,F,,1,60,-149.1666667,AK,,Harbor Seal,NA
1,UA_11777,1972,SE,1321,Total Length,,F,,1,57.31666667,-133.5,AK,,Harbor Seal,NA
2,UA_19119,1972,SE,1448,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
3,UA_99543,2003,SE,1540,Total Length,5,M,Adult,1,59.46,-139.633,AK,,Harbor Seal,NA
4,UA_99544,2003,SE,1420,Total Length,3,M,Adult,1,59.46,-139.633,AK,,Harbor Seal,NA
5,UA_19123,1972,SE,1536.7,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
6,UA_35432,1995,SE,1110,Total Length,,M,,1,57.25055556,-135.3836111,AK,,Harbor Seal,NA
7,UA_35434,1996,SE,1020,Total Length,,M,,1,57.03416667,-135.2166667,AK,,Harbor Seal,NA
8,UA_37973,1995,SE,1260,Total Length,,F,,1,55.525,-131.85,AK,,Harbor Seal,NA
9,UA_37974,1995,SE,1170,Total Length,,M,,1,55.525,-131.85,AK,,Harbor Seal,NA
10,UA_99572,2003,SE,NA,,11,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
11,UA_11713,1965,SE,NA,,,,,1,55.28333333,-132.0666667,AK,,Harbor Seal,NA
12,UA_11779,1972,SE,1334,Total Length,,F,,1,57.25055556,-135.3836111,AK,,Harbor Seal,NA
13,UA_36254,1965,SE,NA,,,M,,1,55.625,-131.9611111,AK,,Harbor Seal,NA
14,UA_41615,1995,SE,1780,Total Length,,F,,1,55.605,-133.085,AK,,Harbor Seal,NA
15,UA_41616,1995,SE,1550,Total Length,,F,,1,55.605,-133.085,AK,,Harbor Seal,NA
16,UA_99566,2003,SE,NA,,2,,,1,59.555,-139.798,AK,,Harbor Seal,NA
17,UA_99535,2003,SE,1250,Total Length,12,F,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
18,UA_99536,2003,SE,1430,Total Length,5,,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
19,UA_99563,2003,SE,NA,,5,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
20,UA_99657,2004,SE,1350,Total Length,11,F,Adult,1,58.30166667,-134.4183333,AK,,Harbor Seal,NA
21,UA_99667,2005,SE,1345,Total Length,3,M,Adult,1,55.795,-133.3066667,AK,,Harbor Seal,NA
22,UA_11712,1972,SE,1245,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
23,UA_21485,1965,SE,NA,,,F,,1,55.87922,-131.112593,AK,,Harbor Seal,NA
24,UA_28933,1965,SE,NA,,,F,,1,55.35,-131.7666667,AK,,Harbor Seal,NA
25,UA_41613,1996,SE,1500,Total Length,,M,,1,55.525,-131.85,AK,,Harbor Seal,NA
26,UA_99570,2003,SE,NA,,4,,Adult,1,59.555,-139.798,AK,,Harbor Seal,NA
27,UA_28932,1965,SE,NA,,,F,Adult,1,55.925577,-131.158094,AK,,Harbor Seal,NA
28,UA_85207,2006,SE,1160,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
29,UA_85208,2006,SE,1360,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
30,UA_85212,2005,SE,1520,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
31,UA_99537,2003,SE,1520,Total Length,6,F,Adult,1,59.364,-139.368,AK,,Harbor Seal,NA
32,UA_99658,2004,SE,1410,Total Length,6,F,Adult,1,58.66833333,-134.915,AK,,Harbor Seal,NA
75,UA_19122,1972,SE,1600,Total Length,,M,Adult,1,57.31666667,-133.5,AK,,Harbor Seal,NA
76,UA_37972,1996,SE,1530,Total Length,,M,,1,57.12333333,-135.4333333,AK,,Harbor Seal,NA
77,UA_99665,2006,SE,1680,Total Length,12,M,Adult,1,55.58,-133.1566667,AK,,Harbor Seal,NA
79,UA_19124,1972,SE,1460.5,Total Length,,F,Adult,1,57.55,-133.5166667,AK,,Harbor Seal,NA
82,UA_85206,2006,SE,960,Total Length,,M,,1,55.54,-131.759,AK,,Harbor Seal,NA
105,UA_11778,1972,SE,1181,Total Length,,F,,1,57.4,-133.4666667,AK,,Harbor Seal,NA
121,UA_41617,1996,SE,1630,Total Length,,M,,1,55.72,-133.4166667,AK,,Harbor Seal,NA
127,UA_36262,1965,SE,NA,,,F,,1,55.93694444,-131.1883333,AK,,Harbor Seal,NA
97,UA_62888,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
98,UA_62890,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
99,UA_62893,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
101,UA_4233,1956,WG,NA,,adult,M,adult,1,59.91666667,-147.4166667,AK,,Sea Lion,7
102,UA_62892,2001,WG,NA,,,F,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
104,UA_92552,2000,WG,NA,,,M,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
108,UA_62896,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
112,UA_5011,1958,WG,NA,,,U,,1,55.05,-162.3166667,AK,,Sea Lion,3
114,UA_62891,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
115,UA_102605,2010,WG,NA,,,U,,1,57.463614,-154.645436,AK,Grant Lagoon,Sea Lion,8
117,UA_31904,1995,WG,NA,,,F,,1,60.9413,-146.6667,AK,Galena Bay; Ideal Beach,Sea Lion,1
118,UA_86989,2006,WG,3200.4,total length,adult,M,adult,1,57.596587,-152.4497222,AK,"Mayflower Beach, Kalsin Bay",Sea Lion,1
119,UA_92554,2000,WG,NA,,,F,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
122,UA_62894,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
123,UA_92555,2000,WG,NA,,,M,,1,60.88275,-147.2044328,AK,specific locality unknown,Sea Lion,10
124,UA_110281,2008,WG,2410,total length,adult,F,adult,1,60.004,-149.3466667,AK,0.5 mile off of Thumb Point,Sea Lion,5
125,UA_110284,2010,WG,2100,total length,adult,F,adult,1,60.085739,-149.443729,AK,"Lowell Point Road, Resurrection Bay, just north of Storm Chasers shop building.",Sea Lion,1
128,UA_62889,2001,WG,NA,,,M,,1,60.86666667,-147.2,AK,Glacier Island,Sea Lion,2
130,UA_37032,1975,WG,NA,,,F,,1,NA,NA,AK,Cordova area,Sea Lion,1
110,UA_139249,NA,,NA,,,,,1,NA,NA,AK,,,NA